last,first,full_nm,nickname,ht,wt,reach,stance,w,l,d,belt,country,age_in_2023,active
Arnett,Austin,Austin Arnett,,"6' 0""",145 lbs.,"72.0""",Orthodox,16,6,0,FALSE,USA,31,FALSE
Arona,Ricardo,Ricardo Arona,The Brazilian Tiger,"5' 11""",205 lbs.,--,Orthodox,14,5,0,FALSE,CAN,29,FALSE
Aronov,Eli,Eli Aronov,The Israeli Tank,--,185 lbs.,--,,6,0,0,FALSE,ISR,31,FALSE
Arrab,Chalid,Chalid Arrab,Die Faust,"5' 11""",205 lbs.,--,Orthodox,7,3,0,FALSE,ISR,31,FALSE
Arreola,Akbarh,Akbarh Arreola,El Caballero,"5' 10""",155 lbs.,"71.0""",Southpaw,23,11,1,FALSE,MEX,#N/A,FALSE
Arroyo,Matt,Matt Arroyo,No Regard,"5' 10""",170 lbs.,"72.0""",Orthodox,3,3,0,FALSE,USA,27,FALSE
Arroyo,Antonio,Antonio Arroyo,,"6' 3""",185 lbs.,"73.0""",Orthodox,9,5,0,FALSE,BRA,31,FALSE
Arsene,Gilles,Gilles Arsene,,"5' 9""",190 lbs.,--,Southpaw,1,1,0,FALSE,USA,31,FALSE
Arteaga,Veta,Veta Arteaga,,"5' 7""",125 lbs.,--,,3,1,0,FALSE,USA,28,FALSE
Arzamendia,Cesar,Cesar Arzamendia,Goku,"5' 11""",155 lbs.,--,Orthodox,8,3,0,FALSE,PAR,31,FALSE
Ash,Teddy,Teddy Ash,Bear,"6' 1""",185 lbs.,"73.0""",Switch,14,5,0,FALSE,CAN,28,FALSE
Ashimov,Arman,Arman Ashimov,Mustafa Ozturik,"5' 6""",125 lbs.,--,,11,3,1,FALSE,KAZ,31,FALSE
Ashmouz,Yanal,Yanal Ashmouz,Red Fox,"5' 9""",155 lbs.,"68.0""",Orthodox,7,0,0,FALSE,KAZ,28,FALSE
Asjabharan,, Asjabharan,,"5' 6""",135 lbs.,--,,7,6,0,FALSE,RUS,#N/A,FALSE
Askar,Askar,Askar Askar,AK-47,"5' 7""",145 lbs.,"69.0""",Orthodox,11,1,0,FALSE,USA,31,FALSE
Askarov,Askar,Askar Askarov,Bullet,"5' 6""",125 lbs.,"67.0""",Orthodox,14,1,1,FALSE,RUS,31,TRUE
Asker,Cyril,Cyril Asker,Silverback,"6' 0""",247 lbs.,"74.0""",Orthodox,9,4,0,FALSE,FRA,31,FALSE
Askhabov,Khusein,Khusein Askhabov,Nohcho,"5' 8""",145 lbs.,"69.0""",Orthodox,23,1,0,FALSE,RUS,27,FALSE
Askham,Scott,Scott Askham,,"6' 3""",185 lbs.,"75.0""",Southpaw,14,4,0,FALSE,ENG,29,FALSE
Askren,Ben,Ben Askren,Funky,"5' 11""",170 lbs.,"73.0""",Orthodox,19,2,0,FALSE,USA,31,FALSE
Aslan,Ibo,Ibo Aslan,The Last Ottoman,"6' 3""",205 lbs.,--,,8,0,0,FALSE,AUT,31,FALSE
Aspinall,Tom,Tom Aspinall,,"6' 5""",256 lbs.,"78.0""",Orthodox,12,3,0,FALSE,ENG,28,TRUE
Assis,Bruno,Bruno Assis,Brunao,"6' 2""",185 lbs.,--,Orthodox,8,4,0,FALSE,BRA,31,FALSE
Assuncao,Junior,Junior Assuncao,,"5' 9""",145 lbs.,"72.0""",Orthodox,16,6,0,FALSE,BRA,34,FALSE
Assuncao,Raphael,Raphael Assuncao,,"5' 5""",135 lbs.,"66.0""",Orthodox,28,10,0,FALSE,BRA,29,FALSE
Atajev,Bazigit,Bazigit Atajev,Volk,"6' 1""",230 lbs.,--,Orthodox,17,1,0,FALSE,BRA,31,FALSE
Attonito,Rich,Rich Attonito,The Raging Bull,"5' 10""",170 lbs.,"72.0""",Orthodox,10,5,0,FALSE,USA,29,FALSE
Aubin-Mercier,Olivier,Olivier Aubin-Mercier,The Canadian Gangster,"5' 9""",155 lbs.,"70.0""",Southpaw,11,5,0,FALSE,CAN,29,FALSE
Audinwood,Pat,Pat Audinwood,Awesomely Awesome,"6' 0""",155 lbs.,--,Orthodox,11,2,1,FALSE,USA,29,FALSE
Augusto,Jose,Jose Augusto,Gugu,"6' 3""",251 lbs.,--,,6,2,0,FALSE,BRA,34,FALSE
Aurelio,Marcus,Marcus Aurelio,Maximus,"5' 10""",155 lbs.,"74.0""",Orthodox,22,10,0,FALSE,BRA,27,FALSE
Avellan,David,David Avellan,,"5' 9""",185 lbs.,--,Orthodox,2,1,0,FALSE,USA,31,FALSE
Avena,Blas,Blas Avena,The Disciple,"6' 0""",170 lbs.,"74.0""",Orthodox,8,7,0,FALSE,USA,31,FALSE
Avera,Levi,Levi Avera,,"6' 1""",170 lbs.,--,,18,15,0,FALSE,USA,27,FALSE
Avila,Anthony,Anthony Avila,,"5' 7""",145 lbs.,--,,13,5,0,FALSE,USA,31,FALSE
Avila,Chris,Chris Avila,,"5' 10""",145 lbs.,--,Orthodox,5,4,0,FALSE,USA,27,FALSE
Avila,Julia,Julia Avila,Raging Panda,"5' 7""",135 lbs.,"68.0""",Orthodox,9,2,0,FALSE,USA,34,TRUE
Awad,Saad,Saad Awad,Assassin,"5' 11""",155 lbs.,--,,20,9,0,FALSE,USA,29,FALSE
