w_d,fighter,kd,str,td,sub,weight_class,method,round,time,event,date,location,,,,,,
win,Stipe Miocic  Mark Hunt,0  0,113  33,6  0,0  0,Heavyweight,KO/TKO: Punches,5,2:47,UFC Fight Night: Miocic vs Hunt,05/09/15,"Adelaide, South Australia, Australia",,,,,,
win,Robert Whittaker  Brad Tavares,1  0,10  2,0  0,0  0,Middleweight,KO/TKO: Punch,1,0:44,UFC Fight Night: Miocic vs Hunt,05/09/15,"Adelaide, South Australia, Australia",,,,,,
win,Sean O'Connell  Anthony Perosh,0  0,20  3,0  0,0  0,Light Heavyweight,KO/TKO: Punches,1,0:56,UFC Fight Night: Miocic vs Hunt,05/09/15,"Adelaide, South Australia, Australia",,,,,,
win,James Vick  Jake Matthews,0  0,10  4,0  1,1  0,Lightweight,SUB: Guillotine Choke,1,4:53,UFC Fight Night: Miocic vs Hunt,05/09/15,"Adelaide, South Australia, Australia",,,,,,
win,Dan Hooker  Hatsu Hioki,1  0,21  32,0  2,0  0,Featherweight,KO/TKO: Kick,2,4:13,UFC Fight Night: Miocic vs Hunt,05/09/15,"Adelaide, South Australia, Australia",,,,,,
win,Kyle Noke  Jonavin Webb,0  1,31  23,0  2,0  2,Welterweight,S-DEC,3,5:00,UFC Fight Night: Miocic vs Hunt,05/09/15,"Adelaide, South Australia, Australia",,,,,,
win,Sam Alvey  Daniel Kelly,1  0,8  2,0  0,0  0,Middleweight,KO/TKO: Punch,1,0:49,UFC Fight Night: Miocic vs Hunt,05/09/15,"Adelaide, South Australia, Australia",,,,,,
win,Bec Rawlings  Lisa Ellis,0  0,21  7,0  1,1  0,Women's Strawweight,SUB: Rear Naked Choke,1,4:09,UFC Fight Night: Miocic vs Hunt,05/09/15,"Adelaide, South Australia, Australia",,,,,,
win,Brad Scott  Dylan Andrews,0  2,42  25,1  1,1  1,Middleweight,SUB: Guillotine Choke,2,4:54,UFC Fight Night: Miocic vs Hunt,05/09/15,"Adelaide, South Australia, Australia",,,,,,
win,Alex Chambers  Kailin Curran,0  0,44  81,2  2,2  0,Women's Strawweight,SUB: Armbar,3,3:15,UFC Fight Night: Miocic vs Hunt,05/09/15,"Adelaide, South Australia, Australia",,,,,,
win,Brendan O'Reilly  Vik Grujic,0  0,42  59,6  1,1  1,Welterweight,U-DEC,3,5:00,UFC Fight Night: Miocic vs Hunt,05/09/15,"Adelaide, South Australia, Australia",,,,,,
win,Ben Nguyen  Alptekin Ozkilic,2  0,27  15,0  1,0  0,Flyweight,KO/TKO: Punch,1,4:59,UFC Fight Night: Miocic vs Hunt,05/09/15,"Adelaide, South Australia, Australia",,,,,,
win,Demetrious Johnson  Kyoji Horiguchi,0  0,66  31,14  1,1  0,Flyweight,SUB: Armbar,5,4:59,UFC 186: Johnson vs Horiguchi,04/25/15,"Montreal, Quebec, Canada",,,,,,
win,Quinton Jackson  Fabio Maldonado,0  0,99  67,0  1,0  0,Catch Weight,U-DEC,3,5:00,UFC 186: Johnson vs Horiguchi,04/25/15,"Montreal, Quebec, Canada",,,,,,
win,Michael Bisping  CB Dollaway,0  1,75  47,0  2,0  0,Middleweight,U-DEC,3,5:00,UFC 186: Johnson vs Horiguchi,04/25/15,"Montreal, Quebec, Canada",,,,,,
win,John Makdessi  Shane Campbell,2  0,47  25,0  0,0  0,Catch Weight,KO/TKO: Punch,1,4:53,UFC 186: Johnson vs Horiguchi,04/25/15,"Montreal, Quebec, Canada",,,,,,
win,Thomas Almeida  Yves Jabouin,0  0,31  20,0  1,0  0,Bantamweight,KO/TKO: Punches,1,4:18,UFC 186: Johnson vs Horiguchi,04/25/15,"Montreal, Quebec, Canada",,,,,,
win,Patrick Cote  Joe Riggs,0  0,21  21,3  2,1  0,Welterweight,U-DEC,3,5:00,UFC 186: Johnson vs Horiguchi,04/25/15,"Montreal, Quebec, Canada",,,,,,
win,Alexis Davis  Sarah Kaufman,0  0,34  65,1  0,1  0,Women's Bantamweight,SUB: Armbar,2,3:07,UFC 186: Johnson vs Horiguchi,04/25/15,"Montreal, Quebec, Canada",,,,,,
win,Chad Laprise  Bryan Barberena,0  0,84  94,0  1,0  0,Lightweight,U-DEC,3,5:00,UFC 186: Johnson vs Horiguchi,04/25/15,"Montreal, Quebec, Canada",,,,,,
win,Olivier Aubin-Mercier  David Michaud,1  0,49  17,3  0,1  0,Lightweight,SUB: Rear Naked Choke,3,1:35,UFC 186: Johnson vs Horiguchi,04/25/15,"Montreal, Quebec, Canada",,,,,,
win,Nordine Taleb  Chris Clements,0  0,36  17,6  0,0  1,Welterweight,U-DEC,3,5:00,UFC 186: Johnson vs Horiguchi,04/25/15,"Montreal, Quebec, Canada",,,,,,
win,Valerie Letourneau  Jessica Rakoczy,0  0,38  46,2  1,2  1,Women's Strawweight,U-DEC,3,5:00,UFC 186: Johnson vs Horiguchi,04/25/15,"Montreal, Quebec, Canada",,,,,,
win,Randa Markos  Aisling Daly,0  0,18  27,2  2,1  1,Women's Strawweight,U-DEC,3,5:00,UFC 186: Johnson vs Horiguchi,04/25/15,"Montreal, Quebec, Canada",,,,,,
win,Luke Rockhold  Lyoto Machida,0  0,23  13,1  0,2  0,Middleweight,SUB: Rear Naked Choke,2,2:31,UFC on FOX: Machida vs Rockhold,04/18/15,"Newark, New Jersey, USA",,,,,,
win,Jacare Souza  Chris Camozzi,0  0,6  7,1  0,1  0,Middleweight,SUB: Armbar,1,2:33,UFC on FOX: Machida vs Rockhold,04/18/15,"Newark, New Jersey, USA",,,,,,
win,Max Holloway  Cub Swanson,0  0,82  56,0  0,3  0,Featherweight,SUB: Guillotine Choke,3,3:58,UFC on FOX: Machida vs Rockhold,04/18/15,"Newark, New Jersey, USA",,,,,,
win,Paige VanZant  Felice Herrig,0  0,67  28,2  0,0  1,Women's Strawweight,U-DEC,3,5:00,UFC on FOX: Machida vs Rockhold,04/18/15,"Newark, New Jersey, USA",,,,,,
win,Beneil Dariush  Jim Miller,0  0,27  11,2  0,1  3,Lightweight,U-DEC,3,5:00,UFC on FOX: Machida vs Rockhold,04/18/15,"Newark, New Jersey, USA",,,,,,
win,Ovince Saint Preux  Patrick Cummins,1  0,18  14,0  1,0  0,Light Heavyweight,KO/TKO: Punch,1,4:54,UFC on FOX: Machida vs Rockhold,04/18/15,"Newark, New Jersey, USA",,,,,,
win,Gian Villante  Corey Anderson,0  0,70  111,0  0,0  0,Light Heavyweight,KO/TKO: Punch,3,4:18,UFC on FOX: Machida vs Rockhold,04/18/15,"Newark, New Jersey, USA",,,,,,
win,Aljamain Sterling  Takeya Mizugaki,0  0,32  13,3  0,1  0,Bantamweight,SUB: Arm Triangle,3,2:11,UFC on FOX: Machida vs Rockhold,04/18/15,"Newark, New Jersey, USA",,,,,,
win,Tim Means  George Sullivan,1  0,48  39,2  0,1  0,Welterweight,SUB: Arm Triangle,3,3:41,UFC on FOX: Machida vs Rockhold,04/18/15,"Newark, New Jersey, USA",,,,,,
win,Diego Brandao  Jimy Hettes,0  0,12  11,2  1,0  0,Featherweight,KO/TKO,1,5:00,UFC on FOX: Machida vs Rockhold,04/18/15,"Newark, New Jersey, USA",,,,,,
win,Chris Dempsey  Eddie Gordon,0  0,44  37,3  3,0  0,Middleweight,S-DEC,3,5:00,UFC on FOX: Machida vs Rockhold,04/18/15,"Newark, New Jersey, USA",,,,,,
win,Mirko Filipovic  Gabriel Gonzaga,0  0,21  19,0  2,0  1,Heavyweight,KO/TKO: Elbows,3,3:30,UFC Fight Night: Gonzaga vs Cro Cop 2,04/11/15,"Krakow, Poland",,,,,,
win,Jimi Manuwa  Jan Blachowicz,0  0,43  44,0  0,0  0,Light Heavyweight,U-DEC,3,5:00,UFC Fight Night: Gonzaga vs Cro Cop 2,04/11/15,"Krakow, Poland",,,,,,
win,Pawel Pawlak  Sheldon Westcott,0  0,30  17,3  3,0  0,Welterweight,U-DEC,3,5:00,UFC Fight Night: Gonzaga vs Cro Cop 2,04/11/15,"Krakow, Poland",,,,,,
win,Maryna Moroz  Joanne Wood,0  0,12  11,0  0,1  0,Women's Strawweight,SUB: Armbar,1,1:30,UFC Fight Night: Gonzaga vs Cro Cop 2,04/11/15,"Krakow, Poland",,,,,,
win,Leon Edwards  Seth Baczynski,1  0,3  0,0  0,0  0,Welterweight,KO/TKO: Punch,1,0:08,UFC Fight Night: Gonzaga vs Cro Cop 2,04/11/15,"Krakow, Poland",,,,,,
win,Bartosz Fabinski  Garreth McLellan,0  0,41  13,10  0,0  2,Middleweight,U-DEC,3,5:00,UFC Fight Night: Gonzaga vs Cro Cop 2,04/11/15,"Krakow, Poland",,,,,,
win,Sergio Moraes  Mickael Lebout,0  0,51  47,2  0,0  0,Welterweight,U-DEC,3,5:00,UFC Fight Night: Gonzaga vs Cro Cop 2,04/11/15,"Krakow, Poland",,,,,,
win,Yaotzin Meza  Damian Stasiak,0  0,17  14,2  1,3  1,Featherweight,U-DEC,3,5:00,UFC Fight Night: Gonzaga vs Cro Cop 2,04/11/15,"Krakow, Poland",,,,,,
win,Anthony Hamilton  Daniel Omielanczuk,0  0,83  36,3  1,0  0,Heavyweight,U-DEC,3,5:00,UFC Fight Night: Gonzaga vs Cro Cop 2,04/11/15,"Krakow, Poland",,,,,,
win,Aleksandra Albu  Izabela Badurek,0  0,42  32,0  1,1  0,Women's Strawweight,SUB: Guillotine Choke,2,3:34,UFC Fight Night: Gonzaga vs Cro Cop 2,04/11/15,"Krakow, Poland",,,,,,
win,Stevie Ray  Marcin Bandel,0  0,31  3,0  0,2  0,Lightweight,KO/TKO: Punches,2,1:35,UFC Fight Night: Gonzaga vs Cro Cop 2,04/11/15,"Krakow, Poland",,,,,,
win,Taylor Lapilus  Rocky Lee,0  0,80  37,2  1,1  0,Featherweight,U-DEC,3,5:00,UFC Fight Night: Gonzaga vs Cro Cop 2,04/11/15,"Krakow, Poland",,,,,,
win,Chad Mendes  Ricardo Lamas,2  0,27  8,0  0,0  0,Featherweight,KO/TKO: Punches,1,2:45,UFC Fight Night: Mendes vs Lamas,04/04/15,"Fairfax, Virginia, USA",,,,,,
win,Al Iaquinta  Jorge Masvidal,0  0,55  83,0  0,0  0,Lightweight,S-DEC,3,5:00,UFC Fight Night: Mendes vs Lamas,04/04/15,"Fairfax, Virginia, USA",,,,,,
win,Michael Chiesa  Mitch Clarke,0  0,59  65,4  0,0  0,Lightweight,U-DEC,3,5:00,UFC Fight Night: Mendes vs Lamas,04/04/15,"Fairfax, Virginia, USA",,,,,,
win,Julianna Pena  Milana Dudieva,0  0,37  0,1  1,0  0,Women's Bantamweight,KO/TKO: Elbows,1,3:59,UFC Fight Night: Mendes vs Lamas,04/04/15,"Fairfax, Virginia, USA",,,,,,
win,Clay Guida  Robert Peralta,0  0,27  24,6  0,1  0,Featherweight,U-DEC,3,5:00,UFC Fight Night: Mendes vs Lamas,04/04/15,"Fairfax, Virginia, USA",,,,,,
win,Dustin Poirier  Diego Ferreira,2  0,24  20,0  0,0  0,Lightweight,KO/TKO: Punch,1,3:45,UFC Fight Night: Mendes vs Lamas,04/04/15,"Fairfax, Virginia, USA",,,,,,
win,Liz Carmouche  Lauren Murphy,0  0,38  46,2  2,0  0,Women's Bantamweight,U-DEC,3,5:00,UFC Fight Night: Mendes vs Lamas,04/04/15,"Fairfax, Virginia, USA",,,,,,
win,Alexander Yakovlev  Gray Maynard,1  0,31  21,2  2,0  0,Lightweight,U-DEC,3,5:00,UFC Fight Night: Mendes vs Lamas,04/04/15,"Fairfax, Virginia, USA",,,,,,
win,Timothy Johnson  Shamil Abdurakhimov,0  0,22  9,1  0,0  0,Heavyweight,KO/TKO: Punches,1,4:57,UFC Fight Night: Mendes vs Lamas,04/04/15,"Fairfax, Virginia, USA",,,,,,
win,Ron Stallings  Justin Jones,0  0,50  23,0  2,0  0,Middleweight,U-DEC,3,5:00,UFC Fight Night: Mendes vs Lamas,04/04/15,"Fairfax, Virginia, USA",,,,,,
win,Demian Maia  Ryan LaFlare,0  0,36  25,5  0,2  0,Welterweight,U-DEC,5,5:00,UFC Fight Night: Maia vs LaFlare,03/21/15,"Rio de Janeiro, Brazil",,,,,,
win,Erick Silva  Josh Koscheck,0  0,14  4,0  0,1  0,Welterweight,SUB: Guillotine Choke,1,4:21,UFC Fight Night: Maia vs LaFlare,03/21/15,"Rio de Janeiro, Brazil",,,,,,
win,Leonardo Santos  Anthony Rocco Martin,0  0,12  14,1  0,1  0,Lightweight,SUB: Rear Naked Choke,2,2:29,UFC Fight Night: Maia vs LaFlare,03/21/15,"Rio de Janeiro, Brazil",,,,,,
win,Amanda Nunes  Shayna Baszler,1  0,15  1,0  0,0  0,Women's Bantamweight,KO/TKO: Kick,1,1:56,UFC Fight Night: Maia vs LaFlare,03/21/15,"Rio de Janeiro, Brazil",,,,,,
win,Gilbert Burns  Alex Oliveira,0  0,17  29,2  0,2  0,Lightweight,SUB: Armbar,3,4:14,UFC Fight Night: Maia vs LaFlare,03/21/15,"Rio de Janeiro, Brazil",,,,,,
win,Godofredo Pepey  Andre Fili,0  0,1  1,0  0,1  0,Featherweight,SUB: Triangle Choke,1,3:14,UFC Fight Night: Maia vs LaFlare,03/21/15,"Rio de Janeiro, Brazil",,,,,,
win,Francisco Trinaldo  Akbarh Arreola,0  0,39  34,3  0,0  0,Lightweight,U-DEC,3,5:00,UFC Fight Night: Maia vs LaFlare,03/21/15,"Rio de Janeiro, Brazil",,,,,,
win,Edimilson Souza  Katsunori Kikuno,1  0,5  1,0  0,0  0,Featherweight,KO/TKO: Punch,1,1:31,UFC Fight Night: Maia vs LaFlare,03/21/15,"Rio de Janeiro, Brazil",,,,,,
nc nc,Leandro Silva  Drew Dober,0  0,25  22,2  0,1  0,Lightweight,Overturned: Guillotine Choke,2,2:45,UFC Fight Night: Maia vs LaFlare,03/21/15,"Rio de Janeiro, Brazil",,,,,,
win,Leonardo Mafra  Cain Carrizosa,0  1,94  44,5  0,0  0,Lightweight,U-DEC,3,5:00,UFC Fight Night: Maia vs LaFlare,03/21/15,"Rio de Janeiro, Brazil",,,,,,
win,Christos Giagos  Jorge de Oliveira,0  0,18  0,1  0,1  0,Lightweight,SUB: Rear Naked Choke,1,3:12,UFC Fight Night: Maia vs LaFlare,03/21/15,"Rio de Janeiro, Brazil",,,,,,
win,Fredy Serrano  Bentley Syler,1  0,20  15,2  0,0  0,Flyweight,KO/TKO: Punch,3,1:34,UFC Fight Night: Maia vs LaFlare,03/21/15,"Rio de Janeiro, Brazil",,,,,,
win,Rafael Dos Anjos  Anthony Pettis,0  0,90  54,9  0,0  0,Lightweight,U-DEC,5,5:00,UFC 185: Pettis vs Dos Anjos,03/14/15,"Dallas, Texas, USA",,,,,,
win,Joanna Jedrzejczyk  Carla Esparza,0  0,53  4,0  1,0  0,Women's Strawweight,KO/TKO: Punches,2,4:17,UFC 185: Pettis vs Dos Anjos,03/14/15,"Dallas, Texas, USA",,,,,,
win,Johny Hendricks  Matt Brown,0  0,36  23,9  0,0  0,Welterweight,U-DEC,3,5:00,UFC 185: Pettis vs Dos Anjos,03/14/15,"Dallas, Texas, USA",,,,,,
win,Alistair Overeem  Roy Nelson,0  1,62  23,0  0,0  0,Heavyweight,U-DEC,3,5:00,UFC 185: Pettis vs Dos Anjos,03/14/15,"Dallas, Texas, USA",,,,,,
win,Henry Cejudo  Chris Cariaso,0  0,50  22,6  0,1  0,Flyweight,U-DEC,3,5:00,UFC 185: Pettis vs Dos Anjos,03/14/15,"Dallas, Texas, USA",,,,,,
win,Ross Pearson  Sam Stout,1  0,25  23,0  0,0  0,Lightweight,KO/TKO: Punch,2,1:33,UFC 185: Pettis vs Dos Anjos,03/14/15,"Dallas, Texas, USA",,,,,,
win,Elias Theodorou  Roger Narvaez,0  0,39  16,2  0,0  0,Middleweight,KO/TKO: Punches,2,4:07,UFC 185: Pettis vs Dos Anjos,03/14/15,"Dallas, Texas, USA",,,,,,
win,Beneil Dariush  Daron Cruickshank,0  0,27  17,1  0,2  0,Lightweight,SUB: Rear Naked Choke,2,2:38,UFC 185: Pettis vs Dos Anjos,03/14/15,"Dallas, Texas, USA",,,,,,
win,Jared Rosholt  Josh Copeland,0  0,22  9,2  0,0  0,Heavyweight,KO/TKO: Punches,3,3:12,UFC 185: Pettis vs Dos Anjos,03/14/15,"Dallas, Texas, USA",,,,,,
win,Ryan Benoit  Sergio Pettis,1  0,28  39,1  1,0  0,Flyweight,KO/TKO: Punch,2,1:34,UFC 185: Pettis vs Dos Anjos,03/14/15,"Dallas, Texas, USA",,,,,,
win,Joe Duffy  Jake Lindsey,1  0,15  6,0  0,0  0,Lightweight,KO/TKO: Punch,1,1:47,UFC 185: Pettis vs Dos Anjos,03/14/15,"Dallas, Texas, USA",,,,,,
win,Germaine de Randamie  Larissa Pacheco,0  0,29  8,0  0,0  0,Women's Bantamweight,KO/TKO: Punch,2,2:02,UFC 185: Pettis vs Dos Anjos,03/14/15,"Dallas, Texas, USA",,,,,,
win,Ronda Rousey  Cat Zingano,0  0,0  0,0  0,1  0,Women's Bantamweight,SUB: Armbar,1,0:14,UFC 184: Rousey vs Zingano,02/28/15,"Los Angeles, California, USA",,,,,,
win,Holly Holm  Raquel Pennington,0  0,44  40,0  0,0  0,Women's Bantamweight,S-DEC,3,5:00,UFC 184: Rousey vs Zingano,02/28/15,"Los Angeles, California, USA",,,,,,
win,Jake Ellenberger  Josh Koscheck,0  0,15  7,0  1,1  0,Welterweight,SUB: North-South Choke,2,4:20,UFC 184: Rousey vs Zingano,02/28/15,"Los Angeles, California, USA",,,,,,
win,Alan Jouban  Richard Walsh,0  0,12  10,0  0,0  0,Welterweight,KO/TKO: Elbow,1,2:19,UFC 184: Rousey vs Zingano,02/28/15,"Los Angeles, California, USA",,,,,,
win,Tony Ferguson  Gleison Tibau,0  0,11  2,1  0,2  0,Lightweight,SUB: Rear Naked Choke,1,2:37,UFC 184: Rousey vs Zingano,02/28/15,"Los Angeles, California, USA",,,,,,
win,Roan Carneiro  Mark Munoz,0  0,1  0,0  0,1  0,Middleweight,SUB: Rear Naked Choke,1,1:40,UFC 184: Rousey vs Zingano,02/28/15,"Los Angeles, California, USA",,,,,,
nc nc,Roman Salazar  Norifumi Yamamoto,0  0,16  19,1  0,0  0,Bantamweight,CNC,2,2:37,UFC 184: Rousey vs Zingano,02/28/15,"Los Angeles, California, USA",,,,,,
win,Tim Means  Dhiego Lima,2  0,23  7,0  0,0  0,Welterweight,KO/TKO: Punch,1,2:17,UFC 184: Rousey vs Zingano,02/28/15,"Los Angeles, California, USA",,,,,,
win,Derrick Lewis  Ruan Potts,0  0,53  7,0  1,0  1,Heavyweight,KO/TKO: Punches,2,3:18,UFC 184: Rousey vs Zingano,02/28/15,"Los Angeles, California, USA",,,,,,
win,Valmir Lazaro  James Krause,0  0,87  87,0  0,0  0,Lightweight,S-DEC,3,5:00,UFC 184: Rousey vs Zingano,02/28/15,"Los Angeles, California, USA",,,,,,
win,Masio Fullen  Alex Torres,0  0,41  37,1  2,0  0,Featherweight,S-DEC,3,5:00,UFC 184: Rousey vs Zingano,02/28/15,"Los Angeles, California, USA",,,,,,
win,Frank Mir  Antonio Silva,1  0,10  1,0  0,0  0,Heavyweight,KO/TKO: Punch,1,1:40,UFC Fight Night: Bigfoot vs Mir,02/22/15,"Porto Alegre, Rio Grande do Sul, Brazil",,,,,,
win,Michael Johnson  Edson Barboza,0  0,38  31,1  0,0  0,Lightweight,U-DEC,3,5:00,UFC Fight Night: Bigfoot vs Mir,02/22/15,"Porto Alegre, Rio Grande do Sul, Brazil",,,,,,
win,Sam Alvey  Cezar Ferreira,1  0,4  13,0  0,0  0,Middleweight,KO/TKO: Punches,1,3:34,UFC Fight Night: Bigfoot vs Mir,02/22/15,"Porto Alegre, Rio Grande do Sul, Brazil",,,,,,
win,Adriano Martins  Rustam Khabilov,0  0,12  18,3  0,0  0,Lightweight,S-DEC,3,5:00,UFC Fight Night: Bigfoot vs Mir,02/22/15,"Porto Alegre, Rio Grande do Sul, Brazil",,,,,,
win,Frankie Saenz  Iuri Alcantara,0  0,44  31,3  2,0  0,Bantamweight,U-DEC,3,5:00,UFC Fight Night: Bigfoot vs Mir,02/22/15,"Porto Alegre, Rio Grande do Sul, Brazil",,,,,,
win,Santiago Ponzinibbio  Sean Strickland,0  0,50  44,1  2,0  0,Welterweight,U-DEC,3,5:00,UFC Fight Night: Bigfoot vs Mir,02/22/15,"Porto Alegre, Rio Grande do Sul, Brazil",,,,,,
win,Marion Reneau  Jessica Andrade,0  1,6  6,0  0,1  0,Women's Bantamweight,SUB: Triangle Choke,1,1:54,UFC Fight Night: Bigfoot vs Mir,02/22/15,"Porto Alegre, Rio Grande do Sul, Brazil",,,,,,
win,Matt Dwyer  William Macario,1  0,13  8,0  0,0  0,Welterweight,KO/TKO: Punch,1,3:14,UFC Fight Night: Bigfoot vs Mir,02/22/15,"Porto Alegre, Rio Grande do Sul, Brazil",,,,,,
win,Mike de la Torre  Tiago dos Santos e Silva,1  0,16  7,0  0,0  0,Featherweight,KO/TKO: Punch,1,2:59,UFC Fight Night: Bigfoot vs Mir,02/22/15,"Porto Alegre, Rio Grande do Sul, Brazil",,,,,,
win,Douglas Silva de Andrade  Cody Gibson,1  0,39  30,0  0,0  0,Bantamweight,U-DEC,3,5:00,UFC Fight Night: Bigfoot vs Mir,02/22/15,"Porto Alegre, Rio Grande do Sul, Brazil",,,,,,
win,Ivan Jorge  Josh Shockley,0  0,25  22,3  0,1  0,Lightweight,U-DEC,3,5:00,UFC Fight Night: Bigfoot vs Mir,02/22/15,"Porto Alegre, Rio Grande do Sul, Brazil",,,,,,
win,Benson Henderson  Brandon Thatch,0  0,57  44,3  2,1  0,Welterweight,SUB: Rear Naked Choke,4,3:58,UFC Fight Night: Henderson vs Thatch,02/14/15,"Broomfield, Colorado, USA",,,,,,
win,Max Holloway  Cole Miller,0  0,57  31,1  0,0  0,Featherweight,U-DEC,3,5:00,UFC Fight Night: Henderson vs Thatch,02/14/15,"Broomfield, Colorado, USA",,,,,,
win,Neil Magny  Kiichi Kunimoto,0  0,76  10,3  1,1  0,Welterweight,SUB: Rear Naked Choke,3,1:22,UFC Fight Night: Henderson vs Thatch,02/14/15,"Broomfield, Colorado, USA",,,,,,
win,Daniel Kelly  Patrick Walsh,0  0,61  50,0  1,0  0,Middleweight,U-DEC,3,5:00,UFC Fight Night: Henderson vs Thatch,02/14/15,"Broomfield, Colorado, USA",,,,,,
win,Kevin Lee  Michel Prazeres,0  0,62  33,4  3,3  0,Lightweight,U-DEC,3,5:00,UFC Fight Night: Henderson vs Thatch,02/14/15,"Broomfield, Colorado, USA",,,,,,
win,Ray Borg  Chris Kelades,0  0,19  4,5  0,4  0,Flyweight,SUB: Kimura,3,2:56,UFC Fight Night: Henderson vs Thatch,02/14/15,"Broomfield, Colorado, USA",,,,,,
win,Efrain Escudero  Rodrigo de Lima,1  0,94  24,2  3,0  0,Lightweight,U-DEC,3,5:00,UFC Fight Night: Henderson vs Thatch,02/14/15,"Broomfield, Colorado, USA",,,,,,
win,Chas Skelly  Jim Alers,1  0,42  33,0  1,0  1,Featherweight,KO/TKO: Punches,2,4:59,UFC Fight Night: Henderson vs Thatch,02/14/15,"Broomfield, Colorado, USA",,,,,,
win,Zach Makovsky  Tim Elliott,0  0,21  43,6  1,0  0,Flyweight,U-DEC,3,5:00,UFC Fight Night: Henderson vs Thatch,02/14/15,"Broomfield, Colorado, USA",,,,,,
win,James Moontasri  Cody Pfister,0  0,32  12,0  0,1  0,Lightweight,SUB: Rear Naked Choke,2,1:49,UFC Fight Night: Henderson vs Thatch,02/14/15,"Broomfield, Colorado, USA",,,,,,
nc nc,Anderson Silva  Nick Diaz,0  0,108  77,0  0,0  0,Middleweight,Overturned,5,5:00,UFC 183: Silva vs Diaz,01/31/15,"Las Vegas, Nevada, USA",,,,,,
win,Tyron Woodley  Kelvin Gastelum,0  0,27  32,0  0,0  0,Welterweight,S-DEC,3,5:00,UFC 183: Silva vs Diaz,01/31/15,"Las Vegas, Nevada, USA",,,,,,
win,Al Iaquinta  Joe Lauzon,1  0,59  32,1  0,0  0,Lightweight,KO/TKO: Punches,2,3:34,UFC 183: Silva vs Diaz,01/31/15,"Las Vegas, Nevada, USA",,,,,,
win,Thales Leites  Tim Boetsch,0  1,20  26,1  0,2  0,Middleweight,SUB: Arm Triangle,2,3:45,UFC 183: Silva vs Diaz,01/31/15,"Las Vegas, Nevada, USA",,,,,,
win,Thiago Alves  Jordan Mein,1  0,23  37,0  0,0  0,Welterweight,KO/TKO: Kick,2,0:39,UFC 183: Silva vs Diaz,01/31/15,"Las Vegas, Nevada, USA",,,,,,
win,Miesha Tate  Sara McMann,0  1,23  34,0  1,2  0,Women's Bantamweight,M-DEC,3,5:00,UFC 183: Silva vs Diaz,01/31/15,"Las Vegas, Nevada, USA",,,,,,
win,Derek Brunson  Ed Herman,1  0,11  0,0  0,0  0,Middleweight,KO/TKO: Punch,1,0:36,UFC 183: Silva vs Diaz,01/31/15,"Las Vegas, Nevada, USA",,,,,,
win,John Lineker  Ian McCall,0  0,38  40,0  1,3  0,Flyweight,U-DEC,3,5:00,UFC 183: Silva vs Diaz,01/31/15,"Las Vegas, Nevada, USA",,,,,,
win,Rafael Natal  Tom Watson,0  0,67  29,8  0,0  0,Middleweight,U-DEC,3,5:00,UFC 183: Silva vs Diaz,01/31/15,"Las Vegas, Nevada, USA",,,,,,
win,Ildemar Alcantara  Richardson Moreira,0  0,21  15,0  0,0  0,Middleweight,S-DEC,3,5:00,UFC 183: Silva vs Diaz,01/31/15,"Las Vegas, Nevada, USA",,,,,,
win,Thiago Santos  Andy Enz,1  0,20  1,0  0,0  0,Middleweight,KO/TKO: Punches,1,1:56,UFC 183: Silva vs Diaz,01/31/15,"Las Vegas, Nevada, USA",,,,,,
win,Anthony Johnson  Alexander Gustafsson,1  0,30  10,0  0,0  0,Light Heavyweight,KO/TKO: Punches,1,2:15,UFC on FOX: Gustafsson vs Johnson,01/24/15,"Stockholm, Sweden",,,,,,
win,Gegard Mousasi  Dan Henderson,1  0,4  4,0  0,0  0,Middleweight,KO/TKO: Punch,1,1:10,UFC on FOX: Gustafsson vs Johnson,01/24/15,"Stockholm, Sweden",,,,,,
win,Ryan Bader  Phil Davis,0  0,26  35,1  0,0  0,Light Heavyweight,S-DEC,3,5:00,UFC on FOX: Gustafsson vs Johnson,01/24/15,"Stockholm, Sweden",,,,,,
win,Sam Sicilia  Akira Corassani,1  0,10  10,0  0,0  0,Featherweight,KO/TKO: Punch,1,3:26,UFC on FOX: Gustafsson vs Johnson,01/24/15,"Stockholm, Sweden",,,,,,
win,Albert Tumenov  Nicholas Musoke,0  0,87  65,0  0,0  0,Welterweight,U-DEC,3,5:00,UFC on FOX: Gustafsson vs Johnson,01/24/15,"Stockholm, Sweden",,,,,,
win,Kenny Robertson  Sultan Aliev,1  0,14  8,0  0,0  0,Welterweight,KO/TKO: Punch,1,2:42,UFC on FOX: Gustafsson vs Johnson,01/24/15,"Stockholm, Sweden",,,,,,
win,Makwan Amirkhani  Andy Ogle,1  0,6  0,0  0,0  0,Featherweight,KO/TKO: Punches,1,0:08,UFC on FOX: Gustafsson vs Johnson,01/24/15,"Stockholm, Sweden",,,,,,
win,Nikita Krylov  Stanislav Nedkov,1  0,13  4,0  0,1  0,Light Heavyweight,SUB: Guillotine Choke,1,1:24,UFC on FOX: Gustafsson vs Johnson,01/24/15,"Stockholm, Sweden",,,,,,
win,Mairbek Taisumov  Anthony Christodoulou,0  0,37  9,2  0,0  0,Lightweight,KO/TKO: Punches,2,0:38,UFC on FOX: Gustafsson vs Johnson,01/24/15,"Stockholm, Sweden",,,,,,
