full_nm,nickname,country,age_in_2023,sig_str_pm,str_acc_percentage,str_abs_pm,str_def_percentage,td_avg_15m,td_acc_percentage,td_def_percentage,sub_avg_15m
Drakkar Klose,,USA,31, 4.38, 55, 3.44, 52, 1.80, 30, 69, 0.0
William Knight,Knightmare,USA,28, 2.62, 56, 3.30, 35, 1.78, 40, 48, 0.4
Roman Kopylov,,RUS,29, 4.54, 50, 3.96, 60, 0.62, 50, 89, 0.0
Karolina Kowalkiewicz,,POL,27, 5.65, 42, 5.47, 58, 0.31, 30, 76, 0.2
Nikita Krylov,The Miner,UKR,29, 4.38, 55, 2.47, 44, 2.29, 38, 53, 1.4
Guram Kutateladze,Georgian Viking,POL,31, 4.62, 45, 4.53, 56, 0.69, 18, 75, 0.0
Aspen Ladd,,USA,31, 3.78, 47, 4.65, 47, 1.56, 47, 62, 0.6
Yohan Lainesse,White Lion,CAN,28, 2.34, 42, 3.44, 59, 1.00, 28, 80, 0.5
Nate Landwehr,The Train,USA,29, 6.14, 46, 5.58, 55, 1.07, 41, 86, 1.1
Ilir Latifi,The Sledgehammer,SWE,31, 2.05, 45, 2.93, 56, 2.11, 35, 100, 0.3
Joe Lauzon,,USA,34, 2.84, 39, 5.39, 54, 2.39, 45, 54, 2.0
Ronnie Lawrence,The Heat,USA,29, 2.78, 56, 1.75, 52, 6.75, 77, 45, 0.2
Jordan Leavitt,The Monkey King,USA,34, 2.64, 60, 1.93, 56, 2.31, 26, 30, 1.2
Andrea Lee,KGB,USA,31, 5.13, 48, 3.59, 64, 2.04, 57, 54, 0.6
Amanda Lemos,,BRA,31, 4.51, 57, 3.97, 50, 1.12, 55, 81, 0.7
Victoria Leonardo,Fury,USA,28, 3.27, 39, 4.70, 46, 1.60, 27, 71, 0.0
Leah Letson,Nidas,USA,27, 3.06, 41, 3.84, 52, 0.51, 50, 76, 0.0
Natan Levy,Lethal,ISR,29, 4.01, 51, 3.52, 58, 5.37, 57, 41, 0.5
Derrick Lewis,The Black Beast,USA,31, 2.54, 50, 2.59, 41, 0.59, 28, 52, 0.0
Austin Lingo,Lights Out,USA,31, 4.21, 40, 4.36, 58, 0.55, 66, 78, 0.0
Philipe Lins,Monstro,BRA,29, 3.59, 46, 3.73, 44, 1.55, 35, 100, 0.0
Ariane Lipski,Queen of Violence,BRA,31, 3.94, 39, 4.20, 51, 0.54, 50, 78, 0.3
Loma Lookboonmee,,THA,27, 4.14, 58, 2.58, 52, 2.04, 50, 74, 0.2
Ange Loosa,The Last Ninja,THA,31, 6.24, 44, 7.47, 49, 1.00, 30, 100, 0.3
Benito Lopez,Golden Boy,USA,31, 4.39, 45, 5.18, 56, 0.00, 0, 73, 0.3
Dalcha Lungiambula,Champion,CGO,31, 3.07, 45, 3.93, 52, 2.14, 45, 77, 0.0
Tucker Lutz,Top Gun,USA,28, 4.04, 49, 3.02, 45, 1.77, 50, 69, 0.2
Mark Madsen,The Olympian,USA,27, 3.24, 47, 3.67, 53, 3.09, 66, 62, 0.0
Jennifer Maia,,BRA,31, 4.50, 38, 4.78, 55, 0.27, 21, 57, 0.1
John Makdessi,The Bull,CAN,34, 5.52, 50, 4.04, 69, 0.00, 0, 85, 0.0
Islam Makhachev,,RUS,31, 2.35, 59, 1.27, 61, 3.24, 62, 90, 1.1
Bea Malecki,,SWE,31, 6.84, 46, 6.96, 62, 0.00, 0, 78, 1.1
Jacob Malkoun,Mamba,AUS,31, 3.70, 55, 2.64, 50, 7.46, 44, 0, 0.5
Mike Malott,Proper,CAN,27, 4.21, 42, 3.07, 56, 2.53, 55, 0, 1.5
Nate Maness,Mayhem,USA,29, 1.94, 42, 4.65, 40, 0.96, 75, 75, 0.3
Julian Marquez,The Cuban Missile Crisis,USA,34, 4.86, 44, 4.99, 51, 0.00, 0, 53, 2.6
Jack Marshman,The Hammer,WAL,31, 2.74, 25, 4.19, 56, 0.00, 0, 20, 0.0
Jonathan Martinez,Dragon,USA,34, 4.63, 49, 3.81, 57, 0.46, 41, 69, 0.1
Miranda Maverick,Fear The,USA,27, 3.82, 45, 2.87, 59, 2.24, 54, 42, 0.3
Nick Maximov,,ITA,29, 1.93, 45, 2.64, 46, 4.16, 45, 35, 0.2
Don'Tale Mayes,Lord Kong,USA,31, 3.39, 43, 3.73, 44, 0.89, 46, 56, 0.0
Molly McCann,Meatball,ENG,32, 5.72, 50, 4.90, 63, 1.67, 35, 44, 0.5
Conor McGregor,The Notorious,IRL,31, 5.32, 49, 4.66, 54, 0.67, 55, 66, 0.1
Cory McKenna,Poppins,WAL,31, 3.01, 40, 3.22, 48, 2.04, 56, 71, 0.5
